"
01_Aquit_82441",,02_Square_85041,,DISTANCE = 7
vi,1,vi,-1,9
vi,-1,num,-1,9
num,-1,num,1,9
num,1,fa,0,9
fa,0,fa,1,9
fa,1,fa,-1,9
fa,-1,ctum,0,9
ctam,0,di,1,9
di,1,di,1,9
di,1,,0,9
di,-2,,2,10
di,2,,1,10
di,1,cit,-2,10
cit,-2,spon,-2,10
spon,-2,spon,1,10
spon,1,sus,-1,10
spon,-1,ser,2,10
so,0,va,1,11
ser,1,va,2,11
ser,1,va,-1,12
ser,-2,sti,-2,12
va,2,vi,1,13
va,2,vi,2,13
va,-1,vi,-1,13
sti,-1,num,-1,13
vi,0,bo,-1,14
vi,2,bo,-1,15
vi,-1,bo,1,16
num,-1,bo,1,17
bo,0,num,-2,18
bo,-1,num,-1,18
bo,2,us,0,19
num,0,us,1,20
num,-3,us,2,21
us,0,us,2,22
us,1,us,-1,23
us,2,que,-1,23
us,2,a,-2,23
us,-1,a,2,23
que,-1,dhuc,0,23
a,-1,dhuc,-3,24
a,-1,hoc,2,25
a,2,si,1,25
dhuc,0,gnum,-1,26
dhuc,-3,fe,-1,26
hoc,3,cit,-1,27
si,0,Je,0,27
gnum,-1,sus,-1,27
fe,-1,sus,2,28
cit,-1,pri,-2,28
Je,1,pri,1,28
sus,-1,mum,0,29
sus,2,co,2,29
pri,-2,ram,1,29
pri,1,di,1,29
mum,0,sci,-1,29
co,1,sci,0,29
ram,1,sci,-1,29
di,1,pu,-1,30
sci,-1,pu,-1,30
sci,-1,lis,1,30
pu,-1,lis,1,30
pu,-1,su,-2,30
lis,1,is,0,30
lis,1,,,29
su,-2,,,28
is,0,,,27
"
","
","
","
","
"
"
08_Aquit_84614",,09_Aquit_84548,,DISTANCE = 22
Ec,0,Ec,0,0
ce,-1,ce,0,1
ce,3,ce,2,2
ce,-1,ce,-1,2
vir,1,vir,1,2
vir,-1,vir,1,3
go,-1,go,-3,4
con,-1,con,-1,4
con,2,con,2,4
ci,2,ci,2,4
ci,1,ci,1,4
pi,-1,pi,-1,4
pi,-2,pi,-2,4
et,1,et,1,4
et,-1,et,-1,4
et,1,et,1,4
et,-2,et,-2,4
et,0,et,-1,5
et,1,et,2,6
pa,2,pa,2,6
pa,0,pa,1,7
pa,1,pa,2,8
pa,2,pa,0,8
pa,0,pa,1,8
pa,1,pa,-3,8
pa,-3,ri,-1,8
ri,-1,ri,1,8
ri,1,et,0,8
et,0,fi,0,8
fi,0,li,0,8
fi,-1,li,-1,8
li,1,li,1,8
li,1,li,1,8
li,1,li,1,8
li,-2,li,-2,8
um,0,um,0,8
et,0,et,0,8
vo,0,et,1,9
vo,-1,et,-1,9
ca,3,vo,2,10
ca,0,vo,0,10
bi,-2,ca,-2,10
bi,-1,ca,-1,10
tur,3,bi,2,11
tur,0,bi,-1,12
tur,-1,bi,1,13
tur,-1,tur,-2,14
tur,1,tur,1,14
no,-2,tur,1,15
no,1,tur,0,15
no,1,tur,-1,15
no,-1,no,-2,15
men,-2,no,-1,15
men,0,men,2,16
men,-1,men,-2,17
e,2,ej,1,17
e,2,ej,2,17
e,-1,ej,1,18
jus,0,ej,-1,19
jus,-1,ej,-1,19
he,-1,us,1,20
he,1,us,-1,20
he,-2,he,-1,21
he,-1,he,1,21
ma,0,he,-2,22
ma,2,he,0,22
ma,1,he,-1,23
ma,1,ma,0,24
nu,-2,ma,2,24
nu,-1,ma,1,24
nu,-1,ma,1,24
el,0,nu,-2,24
,,nu,-1,23
,,el,-1,22
"
","
","
","
","
"
"
08_Aquit_84614",,10_Square-84882,,DISTANCE = 19
Ec,0,Ec,0,0
ce,-1,ce,-1,0
ce,3,ce,3,0
ce,-1,ce,-1,0
vir,1,Vir,1,0
vir,-1,Vir,1,1
go,-1,go,-3,2
con,-1,con,0,3
con,2,con,1,4
ci,2,ci,2,4
ci,1,ci,1,4
pi,-1,pi,-1,4
pi,-2,pi,-2,4
et,1,et,1,4
et,-1,et,-1,4
et,1,et,1,4
et,-2,et,-2,4
et,0,et,0,4
et,1,et,1,4
pa,2,pa,2,4
pa,0,pa,1,5
pa,1,pa,2,6
pa,2,pa,0,6
pa,0,pa,1,6
pa,1,pa,-3,6
pa,-3,ri,-1,6
ri,-1,ri,1,6
ri,1,et,0,6
et,0,Fi,0,6
fi,0,li,0,6
fi,-1,li,1,7
li,1,li,1,7
li,1,li,-2,7
li,1,um,0,8
li,-2,et,0,9
um,0,vo,2,9
et,0,vo,0,9
vo,0,ca,-2,9
vo,-1,ca,-1,9
ca,3,bi,2,10
ca,0,bi,-1,11
bi,-2,bi,1,12
bi,-1,tur,-2,13
tur,3,tur,1,14
tur,0,tur,1,15
tur,-1,tur,-1,15
tur,-1,no,-2,16
tur,1,no,-1,17
no,-2,men,1,17
no,1,e,1,17
no,1,e,1,17
no,-1,e,1,18
men,-2,e,-1,18
men,0,jus,0,18
men,-1,jus,-1,18
e,2,he,-1,19
e,2,he,1,20
e,-1,he,-2,21
jus,0,he,0,21
jus,-1,he,-1,21
he,-1,ma,0,22
he,1,ma,2,23
he,-2,ma,1,23
he,-1,ma,1,23
ma,0,nu,-2,23
ma,2,nu,-1,23
ma,1,nu,-1,23
ma,1,el,0,23
nu,-2,,,22
nu,-1,,,21
nu,-1,,,20
el,0,,,19
"
","
","
","
","
"
"
09_Aquit_84548",,10_Square-84882,,DISTANCE = 17
Ec,0,Ec,0,0
ce,0,ce,-1,1
ce,2,ce,3,2
ce,-1,ce,-1,2
vir,1,Vir,1,2
vir,1,Vir,1,2
go,-3,go,-3,2
con,-1,con,0,3
con,2,con,1,4
ci,2,ci,2,4
ci,1,ci,1,4
pi,-1,pi,-1,4
pi,-2,pi,-2,4
et,1,et,1,4
et,-1,et,-1,4
et,1,et,1,4
et,-2,et,-2,4
et,-1,et,0,5
et,2,et,1,6
pa,2,pa,2,6
pa,1,pa,1,6
pa,2,pa,2,6
pa,0,pa,0,6
pa,1,pa,1,6
pa,-3,pa,-3,6
ri,-1,ri,-1,6
ri,1,ri,1,6
et,0,et,0,6
fi,0,Fi,0,6
li,0,li,0,6
li,-1,li,1,7
li,1,li,1,7
li,1,li,-2,8
li,1,um,0,9
li,-2,et,0,10
um,0,vo,2,10
et,0,vo,0,10
et,1,ca,-2,11
et,-1,ca,-1,11
vo,2,bi,2,11
vo,0,bi,-1,12
ca,-2,bi,1,13
ca,-1,tur,-2,14
bi,2,tur,1,14
bi,-1,tur,1,14
bi,1,tur,-1,14
tur,-2,no,-2,14
tur,1,no,-1,14
tur,1,men,1,14
tur,0,e,1,15
tur,-1,e,1,15
no,-2,e,1,16
no,-1,e,-1,16
men,2,jus,0,17
men,-2,jus,-1,18
ej,1,he,-1,18
ej,2,he,1,19
ej,1,he,-2,19
ej,-1,he,0,20
ej,-1,he,-1,20
us,1,ma,0,20
us,-1,ma,2,20
he,-1,ma,1,21
he,1,ma,1,21
he,-2,nu,-2,21
he,0,nu,-1,22
he,-1,nu,-1,22
ma,0,el,0,22
ma,2,,,22
ma,1,,,21
ma,1,,,20
nu,-2,,,19
nu,-1,,,18
el,-1,,,17
"
","
","
","
","
"
"
13_Aquit_84630",,14_Square_84881,,DISTANCE = 10
Fa,0,Fac,0,0
ctus,0,tus,0,0
ctus,4,tus,4,0
est,0,est,0,0
re,0,re,0,0
pen,0,pen,0,0
te,-4,te,-4,0
de,4,de,4,0
cae,0,cae,0,0
lo,-1,lo,-1,0
so,3,so,3,0
so,-1,so,-1,0
so,1,so,1,0
so,-2,so,-2,0
nus,0,nus,0,0
ad,0,ad,0,0
ve,0,ve,0,0
ni,0,ni,0,0
ni,1,ni,1,0
en,0,en,0,0
en,-1,tis,0,1
tis,1,tis,-1,2
tis,-1,spi,-1,2
spi,-1,spi,2,3
spi,2,ri,-1,3
ri,-1,tus,-1,3
tus,-1,ve,0,3
ve,0,ve,-2,3
he,-2,ve,1,3
he,1,ve,1,3
he,1,he,0,3
men,0,men,0,3
men,1,men,1,3
tis,-1,tis,-1,3
u,0,u,0,3
u,-1,u,-1,3
bi,1,bi,1,3
bi,1,bi,1,3
e,0,e,0,3
e,1,e,1,3
e,-1,e,-1,3
rant,0,rant,0,3
rant,-1,rant,-1,3
se,0,se,0,3
se,-1,se,-1,3
den,-1,den,-1,3
den,1,den,1,3
den,-1,den,-1,3
den,-1,tes,0,4
tes,1,tes,-1,5
tes,-1,al,0,6
al,0,al,1,6
al,1,le,1,6
le,1,le,-1,6
le,-1,le,2,6
le,2,le,-1,6
le,-1,lu,-2,6
lu,-2,lu,1,6
lu,1,lu,-1,6
lu,-1,ia,0,6
ia,0,et,0,6
et,0,re,1,6
re,1,ple,2,6
ple,2,ple,1,6
ple,1,ple,1,6
ple,1,ti,-1,6
ti,-1,sunt,0,6
sunt,0,om,0,6
om,0,om,1,6
om,1,nes,-1,6
nes,-1,spi,1,6
Spi,1,ri,-1,6
ri,-1,tu,-1,6
tu,-1,sanc,1,6
San,1,sanc,1,6
San,1,to,0,6
cto,0,lo,-1,6
lo,-1,quen,-1,6
quen,-1,quen,-1,6
quen,-1,quen,1,6
quen,1,quen,1,6
quen,1,tes,-4,6
tes,-4,mag,1,6
ma,1,mag,1,6
ma,1,na,1,6
gna,1,na,0,6
gna,0,na,-1,6
gna,-1,na,-2,6
gna,-2,na,1,6
gna,1,na,1,6
gna,1,li,-1,6
li,-1,li,-1,6
li,-1,a,1,6
a,1,de,-1,6
De,-1,de,1,6
De,1,de,-1,6
De,-1,i,0,6
i,0,al,1,6
al,0,al,1,7
al,1,le,0,7
le,1,lu,1,7
lu,1,lu,1,7
lu,1,lu,-1,8
lu,-1,ia,-2,8
lu,-1,al,-1,8
ia,-1,al,1,9
al,-1,le,1,10
al,1,le,-1,10
le,1,le,2,11
le,-1,le,-1,11
le,2,lu,-2,11
le,-1,lu,1,11
le,-2,lu,-1,11
lu,0,ia,0,11
lu,1,,,12
lu,-1,,,11
ia,0,,,10
"
","
","
","
","
"
"
15_Aquit_84534",,16_Square_84863,,DISTANCE = 18
Fi,0,Fi,0,0
Fi,-2,Fi,-2,0
Fi,2,Fi,2,0
li,0,li,0,0
quid,0,quid,0,0
fe,1,fe,1,0
fe,-2,fe,-2,0
ci,2,ci,2,0
ci,1,ci,1,0
sti,0,sti,0,0
no,0,no,0,0
no,-2,no,-2,0
no,1,no,1,0
bis,0,bis,0,0
sic,-2,sic,-2,0
sic,1,sic,1,0
sic,-2,sic,-2,0
e,0,e,0,0
e,2,e,2,0
e,0,e,0,0
go,-2,go,-2,0
go,2,go,2,0
go,0,go,0,0
et,0,et,0,0
et,-1,pa,0,1
pa,1,pa,2,2
pa,2,ter,-1,3
ter,-1,tu,1,3
tu,1,tu,1,3
tu,1,tu,-1,3
tu,-1,us,0,3
tu,-1,us,-1,3
us,0,do,0,3
do,0,len,-1,4
len,-1,len,-1,4
len,-1,len,1,5
len,1,tes,-1,5
len,-1,tes,-1,5
len,-1,quae,2,5
tes,1,re,1,5
tes,-1,re,1,6
